minute,boiler1_flowrate,boiler1_supply_temp,radiator_return_temp,boiler2_flowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_actuatorSignal,boiler2_actuatorSignal,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,t
2940,-0.00014226958,323.22842,307.94662,-0.00014227298,334.06848,2.4029932,-6.985441e-11,289.1476,273.15,324.71033,0.00028454256,323.39368,334.1642,0.9999757,1.0,1.0,1.0,15000.0,22500.0,333.15,333.15,176428.84
2941,-0.00014199417,325.19385,308.03012,-0.00014199757,335.29358,2.3890617,-9.098661e-13,289.16324,273.15,327.18045,0.00028399174,325.3083,335.37073,0.9999757,1.0,1.0,1.0,15000.0,22500.0,333.15,333.15,176489.5
2942,-0.00014187155,326.54083,308.09985,-0.00014187496,336.26437,2.3828778,-1.2142977e-14,289.18268,273.15,328.9937,0.0002837465,326.6205,336.32608,0.9999757,1.0,1.0,1.0,15000.0,22500.0,333.15,333.15,176549.5
2943,-0.00014180047,327.47455,308.19037,-0.00014180387,337.03357,2.3792975,-1.6003823e-16,289.20642,273.15,330.3372,0.00028360434,327.5308,337.08307,0.9999757,1.0,1.0,1.0,15000.0,22500.0,330.31128,330.31128,176608.95
2944,-0.00014176314,328.1522,308.3389,-0.00014176653,337.66425,2.3774188,-1.9287397e-18,289.23557,273.15,331.36618,0.0002835297,328.193,337.7044,0.9999757,1.0,1.0,1.0,15000.0,22500.0,329.15,329.15,176669.5
2945,-0.00014174315,328.11987,308.56808,-0.00014174654,334.8265,2.3764126,-2.3263965e-20,289.2695,273.15,332.0982,0.00028348967,328.07242,334.36542,0.9999757,1.0,0.8301247,0.0,12451.87,0.0,327.15,327.15,176729.5
2946,-0.00014173247,327.52234,308.894,-0.00014173587,328.7455,2.375876,-2.712909e-22,289.3086,273.15,331.60355,0.00028346834,327.50555,328.45322,0.9999757,1.0,0.8664162,0.23189534,12996.243,5217.645,327.15,327.15,176789.78
2947,-0.00012204225,327.9881,309.2247,-0.00012204518,327.3385,20.69081,-2.596343e-05,289.35068,273.15,329.32785,0.00024408744,328.06058,327.33557,0.9999757,1.0,0.833452,0.38978985,12501.78,8770.271,327.15,327.15,176848.83
2948,-0.0001466886,328.09106,309.6381,-0.00014669212,327.2522,34.888443,-2.0953813,289.3949,273.15,327.99362,0.00029338073,328.0507,327.2509,0.9999757,1.0,0.84613186,0.60545206,12691.978,13622.671,327.15,327.15,176908.56
2949,-0.00014817245,327.53256,310.2607,-0.000148176,327.291,16.025734,-4.9646726,289.4417,273.15,327.75,0.00029634844,327.50223,327.2752,0.9999757,1.0,0.8053249,0.5082883,12079.874,11436.487,327.15,327.15,176969.34
