minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_actuatorSignal,boiler2_actuatorSignal,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
810,-0.042387918,329.72287,296.3517,-0.042387918,329.76114,0.0,0.0,294.37405,271.6375,330.1636,-8.5151696e-05,328.99277,329.68347,1.7145358e-19,-1.0598773e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,48600.0,-12092.38695972914,-5941.0415,-5947.8545,0.0,0.0,0.0,-11888.896,0.0,0.0,0.11404419
825,-0.04238792,329.75446,296.42554,-0.04238792,329.78033,0.0,0.0,294.35046,271.9297,330.0636,-8.51517e-05,329.01114,329.6844,3.6732546e-21,7.568252e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,49500.0,-12030.220597037378,-5933.523,-5938.13,0.0,0.0,0.0,-11871.652,0.0,0.0,0.0904541
840,-0.04238792,329.78204,296.73032,-0.04238792,329.7996,0.0,0.0,294.3326,272.05,329.648,-8.51517e-05,329.02954,329.68546,1.4740496e-18,1.5407933e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30319,50400.0,-11772.590438785846,-5884.175,-5887.299,0.0,0.0,0.0,-11771.474,0.0,0.0,0.07260132
855,-0.04238793,329.80637,297.5024,-0.04238793,329.81827,0.0,0.0,294.30966,272.05,328.58496,-8.515172e-05,329.04794,329.6866,-3.863032e-19,9.959584e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.3032,51300.0,-11116.276645362033,-5751.0503,-5753.1694,0.0,0.0,0.0,-11504.22,0.0,0.0,0.0496521
870,-0.042387936,329.82773,299.22223,-0.042387936,329.8358,0.0,0.0,294.28366,272.05,326.18304,-8.515173e-05,329.06625,329.68787,-1.8958726e-19,-3.112946e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.303215,52200.0,-9642.192601563514,-5448.6763,-5450.111,0.0,0.0,0.0,-10898.787,0.0,0.0,0.023651123
885,-0.04238794,329.84598,301.58356,-0.04238794,329.85147,0.0,0.0,294.2662,272.05,322.77338,-8.515175e-05,329.0844,329.6892,-1.5699149e-19,9.426812e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.30322,53100.0,-7578.270571181811,-5031.54,-5032.518,0.0,0.0,0.0,-10064.059,0.0,0.0,0.0061950684
900,-0.04238795,329.86102,304.39105,-0.04238795,329.86475,0.0,0.0,294.244,272.05,318.53973,-8.515176e-05,329.1024,329.69058,7.2329875e-20,3.1379058e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.30324,54000.0,-5060.09769701059,-4534.4033,-4535.066,0.0,0.0,0.0,-9069.469,0.0,0.0,-0.016021729
915,-0.042387966,329.87238,307.39783,-0.042387966,329.8749,0.0,0.0,294.22348,272.05,313.7482,-8.515179e-05,329.12003,329.692,-1.4070279e-18,-7.675497e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30326,54900.0,-2271.1314115725136,-4001.1318,-4001.5828,0.0,0.0,0.0,-8002.715,0.0,0.0,-0.03652954
930,-0.04238798,329.87955,310.3135,-0.04238798,329.88126,0.0,0.0,294.19983,272.05,308.7457,-8.515183e-05,329.13724,329.69336,2.2035456e-19,1.1249177e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30328,55800.0,560.7079422103923,-3483.3328,-3483.637,0.0,0.0,0.0,-6966.9697,0.0,0.0,-0.060180664
945,-0.042388,329.88193,312.75485,-0.042388,329.8831,0.0,0.0,294.17834,272.05,304.07248,-8.515186e-05,329.1539,329.69467,3.9232207e-19,-2.5975878e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303314,56700.0,3105.1450255890954,-3049.1265,-3049.3328,0.0,0.0,0.0,-6098.459,0.0,0.0,-0.08166504
960,-0.042388026,329.8791,314.42593,-0.042388026,329.87988,0.0,0.0,294.1515,272.05,300.23566,-8.5151914e-05,329.1699,329.6959,9.217521e-19,-5.7124757e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30335,57600.0,5074.982895220348,-2751.1208,-2751.262,0.0,0.0,0.0,-5502.383,0.0,0.0,-0.10852051
975,-0.04238805,329.87033,315.25485,-0.04238805,329.87085,0.0,0.0,294.1268,272.05,297.40314,-8.5151965e-05,329.1851,329.69696,-3.5487447e-19,-3.8208455e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.3034,58500.0,6384.456221262491,-2601.991,-2602.0833,0.0,0.0,0.0,-5204.074,0.0,0.0,-0.13320923
990,-0.04238808,329.8548,315.28647,-0.04238808,329.85516,0.0,0.0,294.10144,272.05,295.6871,-8.515203e-05,329.19928,329.6978,-1.1701118e-18,-3.0466657e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303444,59400.0,7009.488159309995,-2593.5986,-2593.6638,0.0,0.0,0.0,-5187.2627,0.0,0.0,-0.15856934
1005,-0.04238812,329.83157,314.7726,-0.04238812,329.83182,0.0,0.0,294.07138,272.05,294.79556,-8.5152096e-05,329.21225,329.6984,-1.1022118e-19,2.543204e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.3035,60300.0,7144.568557176712,-2680.9482,-2680.9917,0.0,0.0,0.0,-5361.94,0.0,0.0,-0.18862915
1020,-0.042388152,329.80005,313.99554,-0.042388152,329.80023,0.0,0.0,294.04773,272.05,294.39,-8.515216e-05,329.22385,329.69864,-1.3356739e-18,-3.57146e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.30355,61200.0,7011.703624450405,-2813.6797,-2813.7124,0.0,0.0,0.0,-5627.392,0.0,0.0,-0.21228027
1035,-0.042388186,329.75977,313.11932,-0.042388186,329.7599,0.0,0.0,294.01913,271.9831,294.22003,-8.5152235e-05,329.23392,329.69852,1.0310772e-18,9.684127e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.303604,62100.0,6759.131165740584,-2962.5042,-2962.526,0.0,0.0,0.0,-5925.0303,0.0,0.0,-0.24087524
