Date/Time,LIVING ZONE:Zone Combined Outdoor Air Sensible Heat Loss Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Combined Outdoor Air Current Density Volume Flow Rate [m3/s](TimeStep:REPORTSCH),LIVING ZONE:Zone Combined Outdoor Air Mass [kg](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),ACDXCOIL 1:Cooling Coil Total Cooling Energy [J](TimeStep:REPORTSCH),HEAT PUMP DX HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),SUPP HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Cycling Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Level [](TimeStep) 
 07/21  13:00:00,0.0,0.013831883241200663,9.4095391170655,0.0,2694513.3323162086,26.59882933921074,0.0,0.0,34.862593178386746,0.0,0.0,51.074107522162976,3004610.6645745947,0.0,0.0,0.4895932567539094,0.0,1.0 
 07/21  13:10:00,0.0,0.013826906040185261,9.406778727559546,0.0,2785930.5474421596,26.5988659153267,0.0,0.0,35.017156431306304,0.0,0.0,51.160454150625384,3093278.2642118693,0.0,0.0,0.5049483948933614,0.0,1.0 
 07/21  13:20:00,0.0,0.013822017306267764,9.40401983241959,0.0,2879620.7393073183,26.598899262252132,0.0,0.0,35.15861988506767,0.0,0.0,51.20659247203357,3184808.855653187,0.0,0.0,0.5207752340504744,0.0,1.0 
 07/21  13:30:00,0.0,0.013817209109923519,9.40126257857428,0.0,2974662.7093282104,26.598930507000638,0.0,0.0,35.29079787776092,0.0,0.0,51.20999226266967,3278109.151839238,0.0,0.0,0.5368998984840737,0.0,1.0 
 07/21  13:40:00,0.0,0.013812475645201045,9.398507029225348,0.0,3069927.610733863,26.598960027672792,0.0,0.0,35.41610478158365,0.0,0.0,51.17406035696964,3371913.6915885755,0.0,0.0,0.5531171292890007,0.0,1.0 
 07/21  13:50:00,0.0,0.013807811700757379,9.395752996121823,0.0,3164604.42647304,26.598988283964367,0.0,0.0,35.53500849816969,0.0,0.0,51.105903370060716,3465338.507006766,0.0,0.0,0.5692825648442488,0.0,1.0 
 07/21  14:00:00,0.0,0.01380321294636983,9.393000562594993,0.0,3257750.4519494446,26.599015208850947,0.0,0.0,35.64736387767961,0.0,0.0,51.00625004959705,3557371.9063268136,0.0,0.0,0.5852296015937797,0.0,1.0 
 07/21  14:10:00,0.0,0.013802788342094282,9.393000562594993,0.0,3342951.6723721614,26.600817256036866,0.0,0.0,35.741940555752265,0.0,0.0,50.86537876522703,3642355.3954618266,0.0,0.0,0.5995029561055982,0.0,1.0 
 07/21  14:20:00,0.0,0.013802330428385043,9.393000562594993,0.0,3429979.5032559377,26.601057230330955,0.0,0.0,35.818599832658045,0.0,0.0,50.67745896745059,3730313.9639091585,0.0,0.0,0.6142450324156526,0.0,1.0 
 07/21  14:30:00,0.0,0.013801897289435679,9.393000562594993,0.0,3509994.5794548574,26.60107446509518,0.0,0.0,35.883014234397066,0.0,0.0,50.44384791448709,3810708.7195173,0.0,0.0,0.6277384748586308,0.0,1.0 
 07/21  14:40:00,0.0,0.013801495580223281,9.393000562594993,0.0,3587329.2667362965,26.601057743808,0.0,0.0,35.93893960077201,0.0,0.0,50.168569264181855,3888391.294735053,0.0,0.0,0.6407763267821228,0.0,1.0 
 07/21  14:50:00,0.0,0.02749961734909867,9.393000562594993,0.0,3660616.7083647065,26.60066828230375,0.0,0.0,35.96509350138491,0.0,0.0,49.94673564067457,3961746.362295185,0.0,0.0,0.6531018892129188,0.0,1.0 
 07/21  15:00:00,0.0,0.027498971787405797,9.393000562594993,0.0,3732064.5527935214,26.600643754086697,0.0,0.0,36.01920121332641,0.0,0.0,49.51828395391132,4034617.8394880816,0.0,0.0,0.665286234308768,0.0,1.0 
 07/21  15:10:00,0.0,0.02750806276253375,9.396303694177886,0.0,3793875.5782763353,26.60063493575687,0.0,0.0,36.0352533838309,0.0,0.0,49.12504904896848,4097756.948881411,0.0,0.0,0.675228706884235,0.0,1.0 
 07/21  15:20:00,0.0,0.027517179889125498,9.399609033576429,0.0,3849916.672574584,26.600614838162763,0.0,0.0,36.02318526659671,0.0,0.0,48.68565885536067,4154939.3046499323,0.0,0.0,0.6841610287517762,0.0,1.0 
 07/21  15:30:00,0.0,0.027526325058527368,9.402916809893615,0.0,3900904.061966515,26.60059877959152,0.0,0.0,35.9941521391721,0.0,0.0,48.194438628833105,4206805.431820269,0.0,0.0,0.6921979554092177,0.0,1.0 
 07/21  15:40:00,0.0,0.027535499383088823,9.406226797354822,0.0,3946848.232810839,26.60058421999876,0.0,0.0,35.95041251789924,0.0,0.0,47.66140169675473,4253392.973537274,0.0,0.0,0.699347026268498,0.0,1.0 
 07/21  15:50:00,0.0,0.02754470340199648,9.4095391170655,0.0,3987723.259218583,26.600571317226326,0.0,0.0,35.901996181973416,0.0,0.0,47.0834942481526,4294703.242458902,0.0,0.0,0.7056097511440761,0.0,1.0 
