minute,boiler1_flowrate,boiler1_supply_temp,radiator_return_temp,boiler2_flowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_actuatorSignal,boiler2_actuatorSignal,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
2919,-0.00014181134,312.07077,300.58826,-0.00014181154,323.38654,2.3797364,0.0,289.16498,273.15,318.18423,0.00028362288,311.74084,323.53015,0.9999986,1.0,0.0,1.0,0.0,5316.593,343.15,343.15,-26438.377,175169.67,20960.61206349731,6839.072530006174,13578.848159562007,0.0,5316.593,2.3797364,20417.920689568182,5316.593,5318.9727,-5.0950317
2920,-0.00013921675,308.3296,300.99908,-0.00013921694,325.2133,3.3209388,0.0,289.12024,273.15,317.78082,0.00027843367,308.12222,325.33322,0.9999986,1.0,0.0,1.0,0.0,5316.593,343.15,343.15,-25574.031,175230.28,19624.923999379007,4286.222265830375,14158.313965403568,0.0,5316.593,3.3209388,18444.536231233942,5316.593,5319.9136,-5.1397705
2921,-0.00011399215,306.2562,301.45673,-0.00012481885,327.2451,27.825777,-0.02169101,289.08145,273.15,316.23694,0.00023881099,306.12128,327.4266,0.9218722,1.0,0.0,1.0,0.0,5316.593,343.15,343.15,-20427.953,175289.38,14824.643810746707,2297.8275452318007,13519.26866169233,0.0,5316.593,27.804087,15817.09620692413,5316.593,5344.397,-5.1785583
2922,-5.5094148e-05,305.21982,302.0113,-0.00018822399,327.91147,44.137577,-7.642085,289.0461,273.15,316.3207,0.00024331814,305.12674,327.86322,0.31562564,1.0,0.0,1.0,0.0,5316.593,343.15,343.15,-43137.953,175348.19,14623.311573571218,742.4383636728926,20475.14539805544,0.0,5316.593,36.49549,21217.583761728332,5316.593,5353.0884,-5.2138977
2923,-6.0453162e-06,305.01215,302.6903,-0.00026173427,325.41205,33.503666,-16.767351,289.0128,273.15,318.83557,0.00026777957,304.93356,325.28326,0.023490198,1.0,0.0,1.0,0.0,5316.593,343.15,343.15,-80227.95,175408.86,18158.161475179215,58.9522384911223,24977.644420222943,0.0,5316.593,16.736315,25036.596658714065,5316.593,5333.329,-5.247223
2924,-4.163555e-06,304.97922,303.55035,-0.00028187505,322.42902,14.768773,-5.963448,288.98386,273.15,321.7326,0.00028603862,304.91077,322.34924,0.01457867,1.0,0.0,1.0,0.0,5316.593,343.15,343.15,-92701.31,175469.5,21843.468781631258,24.98643713798043,22349.9801374075,0.0,5316.593,8.805325,22374.96657454548,5316.593,5325.398,-5.2761536
2925,-4.111069e-06,304.95416,304.43198,-0.00027841347,320.97293,6.5404906,0.80514073,288.96048,273.15,322.26608,0.00028252453,304.90155,320.9436,0.014573835,1.0,0.0,1.0,0.0,5316.593,343.15,343.15,-90437.79,175529.86,21162.004819326085,9.016323729893472,19341.94319640099,0.0,5316.593,7.3456316,19350.959520130884,5316.593,5323.9385,-5.29953
2926,-4.11193e-06,304.93668,305.28168,-0.00027847188,320.55087,4.429073,2.8283443,288.94223,273.15,321.6289,0.0002825838,304.90317,320.54645,0.014573832,1.0,0.0,1.0,0.0,5316.593,343.15,343.15,-90475.44,175589.5,19401.739914558293,-5.958207852513331,17858.574802179737,0.0,5316.593,7.257417,17852.616594327224,5316.593,5323.85,-5.3177795
2927,-4.120312e-06,304.92725,306.12656,-0.0002790395,320.63293,3.910055,3.3857894,288.92792,273.15,320.9184,0.0002831598,304.91455,320.64215,0.014573832,1.0,0.0,1.0,0.0,5316.593,343.15,343.15,-90844.58,175649.5,17591.508882237682,-20.754437265174673,17000.980172166892,0.0,5316.593,7.295844,16980.225734901716,5316.593,5323.8887,-5.3320923
2928,-4.1218577e-06,304.92645,306.9551,-0.00027914418,321.00967,3.7775087,3.5262573,288.91675,273.15,320.5464,0.00028326604,304.93536,321.02704,0.014573832,1.0,0.0,1.0,0.0,5316.593,343.15,343.15,-90912.734,175709.5,16169.77954242902,-35.11969202805998,16477.650611104622,0.0,5316.593,7.3037663,16442.530919076562,5316.593,5323.8965,-5.3432617
2929,-4.1228345e-06,304.93457,307.74908,-0.00027921033,321.56207,3.7465477,3.562417,288.90802,273.15,320.58405,0.00028333318,304.96548,321.58414,0.014573832,1.0,0.0,1.0,0.0,5316.593,341.61993,341.61993,-90955.83,175769.67,15273.595350674896,-48.73585983642958,16198.2620567926,0.0,5316.593,7.3089647,16149.52619695617,5316.593,5323.902,-5.3519897
2930,-4.1235603e-06,304.9516,308.4747,-0.0002792595,322.20575,3.7404754,3.5723538,288.90134,273.15,320.91766,0.00028338304,305.00436,322.23007,0.014573832,1.0,0.0,1.0,0.0,5316.593,337.59445,337.59445,-90987.836,175829.5,14809.723070892922,-61.016435550578784,16105.007601736965,0.0,5316.593,7.312829,16043.991166186386,5316.593,5323.906,-5.358673
