DATETIME,Environment:Outdoor Dry Bulb [C], TOTAL POWER[KW],DR Event,Power prediction
 01/03  24:00:00,8.6,56.31858,0,56.31858
 01/04  00:15:00,8.5,56.31858,0,56.31858
 01/04  00:30:00,8.4,56.31858,0,56.31858
 01/04  00:45:00,8.3,56.31858,0,56.31858
 01/04  01:00:00,8.2,56.31858,0,56.31858
 01/04  01:15:00,8.1,56.31858,0,56.31858
 01/04  01:30:00,8,56.31858,0,56.31858
 01/04  01:45:00,7.9,56.31858,0,56.31858
 01/04  02:00:00,7.8,56.31858,0,56.31858
 01/04  02:15:00,7.7,56.31858,0,56.31858
 01/04  02:30:00,7.6,56.31858,0,56.31858
 01/04  02:45:00,7.5,56.31858,0,56.31858
 01/04  03:00:00,7.4,56.31858,0,56.31858
 01/04  03:15:00,7.3,56.31858,0,56.31858
 01/04  03:30:00,7.2,56.31858,0,56.31858
 01/04  03:45:00,7.1,56.31858,0,56.31858
 01/04  04:00:00,7,56.31858,0,56.31858
 01/04  04:15:00,7,56.31858,0,56.31858
 01/04  04:30:00,7,56.31858,0,56.31858
 01/04  04:45:00,7,56.31858,0,56.31858
 01/04  05:00:00,7,56.31858,0,56.31858
 01/04  05:15:00,7,56.31858,0,56.31858
 01/04  05:30:00,7,56.31858,0,56.31858
 01/04  05:45:00,7,56.31858,0,56.31858
 01/04  06:00:00,7,56.31858,0,110.28729
 01/04  06:15:00,7,110.28729,0,109.41923
 01/04  06:30:00,7,109.41923,0,109.19968
 01/04  06:45:00,7,109.19968,0,109.14645
 01/04  07:00:00,7,109.14645,0,143.52875
 01/04  07:15:00,6.825,143.52875,0,143.54405
 01/04  07:30:00,6.65,143.54405,0,143.63477
 01/04  07:45:00,6.475,143.63477,0,143.68396
 01/04  08:00:00,6.3,143.68396,0,182.73746
 01/04  08:15:00,6.15,182.73746,0,182.88489
 01/04  08:30:00,6,182.88489,0,182.96244
 01/04  08:45:00,5.85,182.96244,0,183.04335
 01/04  09:00:00,5.7,183.04335,0,198.76887
 01/04  09:15:00,5.525,198.76887,0,199.15502
 01/04  09:30:00,5.35,199.15502,0,199.46691
 01/04  09:45:00,5.175,199.46691,0,199.79765
 01/04  10:00:00,5,199.79765,0,210.31651
 01/04  10:15:00,5.4,210.31651,0,210.58541
 01/04  10:30:00,5.8,210.58541,0,210.88714
 01/04  10:45:00,6.2,210.88714,0,211.14494
 01/04  11:00:00,6.6,211.14494,0,212.41863
 01/04  11:15:00,7.075,212.41863,0,212.63658
